Title1,Title2
Arches NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park Specific Reports/Annual Park Recreation Visitation (1904 - Last Calendar Year)?Park=ARCH

Detailelement1,Dataelement2,Sum2
1929,"500","29,592,991"
1930,"400","29,592,991"
1931,"405","29,592,991"
1932,"480","29,592,991"
1933,"425","29,592,991"
1934,"275","29,592,991"
1935,"300","29,592,991"
1936,"400","29,592,991"
1937,"1,000","29,592,991"
1938,"1,448","29,592,991"
1939,"1,775","29,592,991"
1940,"2,512","29,592,991"
1941,"3,737","29,592,991"
1942,"1,205","29,592,991"
1943,"776","29,592,991"
1944,"642","29,592,991"
1945,"682","29,592,991"
1946,"2,301","29,592,991"
1947,"5,028","29,592,991"
1948,"8,870","29,592,991"
1949,"13,270","29,592,991"
1950,"16,257","29,592,991"
1951,"18,603","29,592,991"
1952,"28,683","29,592,991"
1953,"30,853","29,592,991"
1954,"31,300","29,592,991"
1955,"31,800","29,592,991"
1956,"28,500","29,592,991"
1957,"25,400","29,592,991"
1958,"40,100","29,592,991"
1959,"59,800","29,592,991"
1960,"71,600","29,592,991"
1961,"90,700","29,592,991"
1962,"105,700","29,592,991"
1963,"118,200","29,592,991"
1964,"99,700","29,592,991"
1965,"143,900","29,592,991"
1966,"128,000","29,592,991"
1967,"120,300","29,592,991"
1968,"135,600","29,592,991"
1969,"162,600","29,592,991"
1970,"178,500","29,592,991"
1971,"202,100","29,592,991"
1972,"225,128","29,592,991"
1973,"274,900","29,592,991"
1974,"166,900","29,592,991"
1975,"236,100","29,592,991"
1976,"294,800","29,592,991"
1977,"313,400","29,592,991"
1978,"326,948","29,592,991"
1979,"269,840","29,592,991"
1980,"290,519","29,592,991"
1981,"326,508","29,592,991"
1982,"339,415","29,592,991"
1983,"287,875","29,592,991"
1984,"345,180","29,592,991"
1985,"363,464","29,592,991"
1986,"419,444","29,592,991"
1987,"468,916","29,592,991"
1988,"520,455","29,592,991"
1989,"555,809","29,592,991"
1990,"620,719","29,592,991"
1991,"705,882","29,592,991"
1992,"799,831","29,592,991"
1993,"773,678","29,592,991"
1994,"777,178","29,592,991"
1995,"859,374","29,592,991"
1996,"856,016","29,592,991"
1997,"858,525","29,592,991"
1998,"837,161","29,592,991"
1999,"869,980","29,592,991"
2000,"786,429","29,592,991"
2001,"754,026","29,592,991"
2002,"769,672","29,592,991"
2003,"757,781","29,592,991"
2004,"733,131","29,592,991"
2005,"781,670","29,592,991"
2006,"833,049","29,592,991"
2007,"860,181","29,592,991"
2008,"928,795","29,592,991"
2009,"996,312","29,592,991"
2010,"1,014,405","29,592,991"
2011,"1,040,758","29,592,991"
2012,"1,070,577","29,592,991"
2013,"1,082,866","29,592,991"
2014,"1,284,767","29,592,991"

