Title1,Title2
Arches NP,"Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park Specific Reports/Summary of Visitor Use By Month and Year (1979 - Last Calendar Year)?RptYears=2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979&Park=ARCH"

Year,Month,RecreationVisitors,NonRecreationVisitors,ConcessionLodging,TentCampers,RVCampers,ConcessionCamping,BackcountryCampers,MiscCampers,TotalOvernightStays,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29
1979,January,"2,970",0,0,35,47,0,5,0,87,1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
1979,February,"3,135",0,0,108,120,0,29,0,257,1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
1979,March,"14,659",0,0,"1,143","1,115",0,254,0,"2,512",1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
1979,April,"31,818",0,0,"2,152","2,342",0,401,486,"5,381",1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
1979,May,"39,266",0,0,"2,380","3,112",0,927,"1,144","7,563",1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
1979,June,"43,503",0,0,"2,577","2,390",0,179,746,"5,892",1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
1979,July,"36,524",0,0,"2,843","2,073",0,46,605,"5,567",1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
1979,August,"43,309",0,0,"3,351","2,021",0,102,363,"5,837",1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
1979,September,"30,813",0,0,"2,291","2,201",0,141,255,"4,888",1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
1979,October,"15,273",0,0,"1,154","1,626",0,164,160,"3,104",1979 Totals,"269,840",0,0,"18,772","17,605",0,"2,332","3,759","42,468","25,840,188",0,0,"962,394","530,683",0,"46,441","205,289","1,744,804"
